site,code,date,co,nox,no2,no,o3,so2,pm10,pm2.5,ws,wd,air_temp
London N. Kensington,KC1,2018-10-21 14:00:00,0.157463,36.34265,28.62358,5.03424,47.29809,6.44941,7.25,4.976,2.5,269,11.9
London N. Kensington,KC1,2018-10-21 15:00:00,0.134134,18.32753,16.37203,1.27534,55.8796,7.37076,7.45,5.236,2.5,276,10.1
London N. Kensington,KC1,2018-10-21 16:00:00,0.148715,24.73175,23.23939,0.97329,44.25465,8.36298,8.775,6.109,2.3,279.3,9.3
London N. Kensington,KC1,2018-10-21 17:00:00,0.247858,63.15707,53.89419,6.04109,11.12603,10.91439,12.05,8.75,2.3,295,9.1
London N. Kensington,KC1,2018-10-21 18:00:00,0.349918,99.08318,66.45727,21.27807,3.69205,10.77265,16.325,11.698,1.9,294.8,9.4
London N. Kensington,KC1,2018-10-21 19:00:00,0.212866,45.76675,41.95867,2.48356,29.83572,9.0717,12.75,9.481,2.1,289.5,10
London N. Kensington,KC1,2018-10-21 20:00:00,0.131219,21.45154,20.57671,0.57055,39.16561,7.65425,6.375,4.458,2.1,321,11.1
London N. Kensington,KC1,2018-10-21 21:00:00,0.107891,13.53738,12.76547,0.50342,47.49766,7.86687,4.475,2.995,4.5,356.4,12.6
London N. Kensington,KC1,2018-10-21 22:00:00,0.096227,13.27704,12.60806,0.4363,48.89465,7.79599,5.3,3.302,5.9,13.8,12.5
London N. Kensington,KC1,2018-10-21 23:00:00,0.075815,12.54811,11.98204,0.36918,49.79272,7.93774,6.25,3.774,5.3,13.4,11.5
London N. Kensington,KC1,2018-10-22 00:00:00,0.116907,9.10809,8.90199,0.13442,51.55558,1.88928,6,3.349,5,7.6,10.5
London N. Kensington,KC1,2018-10-22 01:00:00,0.105216,8.6214,8.1405,0.31364,50.29164,3.49517,6.95,3.892,4.9,12.1,9.3
London N. Kensington,KC1,2018-10-22 02:00:00,0.090603,6.62249,6.41638,0.13442,54.63229,4.32173,7.425,4.057,4.6,14.6,8.4
London N. Kensington,KC1,2018-10-22 03:00:00,0.073066,5.42314,5.16551,0.16802,62.5153,5.17191,9.225,4.528,4.6,13.8,7.7
London N. Kensington,KC1,2018-10-22 04:00:00,0.07599,11.83704,11.32179,0.33604,51.73852,4.53428,8.9,4.623,4.5,15.8,7.1
London N. Kensington,KC1,2018-10-22 05:00:00,0.090603,22.05757,20.56334,0.97451,39.51486,4.95936,9.85,4.976,4.1,17.5,6.6
London N. Kensington,KC1,2018-10-22 06:00:00,0.105216,38.37912,35.03,2.18424,29.68604,3.82579,11.225,4.906,4.3,18.9,6.3
London N. Kensington,KC1,2018-10-22 07:00:00,0.125675,45.88808,38.15933,5.04056,30.68389,5.24275,11.075,4.859,4.3,16.8,7.1
London N. Kensington,KC1,2018-10-22 08:00:00,0.128598,41.50785,31.0998,6.78796,39.46497,4.60512,12.2,5.377,4.7,14.8,8.3
London N. Kensington,KC1,2018-10-22 09:00:00,0.09937,29.41009,21.16609,5.3766,49.8925,3.96749,12.15,5.519,4.8,16,9.3
London N. Kensington,KC1,2018-10-22 10:00:00,0.084757,20.23247,14.46167,3.76362,55.53035,4.88851,10.45,5.401,4.7,18.9,10.4
London N. Kensington,KC1,2018-10-22 11:00:00,0.078912,17.83378,12.68128,3.36038,58.5239,4.74682,10.4,4.387,4.9,16.4,11
London N. Kensington,KC1,2018-10-22 12:00:00,0.078912,19.29385,14.14135,3.36038,57.42627,2.55053,8.65,4.127,4.5,17.3,11.2
London N. Kensington,KC1,2018-10-22 13:00:00,0.078912,19.346,14.6057,3.09154,58.12476,2.26714,11.8,4.976,4,12.7,11.1
London N. Kensington,KC1,2018-10-22 14:00:00,0.090603,22.31829,17.47494,3.15875,56.72777,2.90477,9.775,4.717,3.9,8.8,10.6
London N. Kensington,KC1,2018-10-22 15:00:00,0.090603,21.48397,18.08332,2.21785,54.73207,1.55866,11.45,5.448,2.6,4.8,9.7
London N. Kensington,KC1,2018-10-22 16:00:00,0.108139,33.8946,30.54548,2.18424,38.76647,0.63763,11.225,5.731,2,341.1,8
London N. Kensington,KC1,2018-10-22 17:00:00,0.189973,79.0005,60.14235,12.29897,7.58366,0.99187,13.65,7.241,1.9,319.7,7.1
London N. Kensington,KC1,2018-10-22 18:00:00,0.280576,137.97712,68.57292,45.26424,1.59656,2.97562,17.6,8.986,2,293,6.4
London N. Kensington,KC1,2018-10-22 19:00:00,0.444246,240.65169,74.6381,108.27125,2.14538,5.10106,28.25,14.434,2.2,298.3,6.2
London N. Kensington,KC1,2018-10-22 20:00:00,0.467627,238.30514,75.02237,106.49025,1.94581,7.93498,29.9,14.835,2.2,296.9,6.1
London N. Kensington,KC1,2018-10-22 21:00:00,0.4384,209.46866,70.66027,90.52847,1.84602,10.34381,21.55,13.844,2.3,282.5,5.9
London N. Kensington,KC1,2018-10-22 22:00:00,0.368256,155.133,65.58252,58.4033,1.89592,8.9977,22.425,14.741,2.3,274.2,5.8
London N. Kensington,KC1,2018-10-22 23:00:00,0.353643,150.23132,62.17507,57.42879,1.49678,7.36819,22.05,14.363,2.5,269.9,5.7
London N. Kensington,KC1,2018-10-23 00:00:00,0.26169,95.18741,54.46603,26.5578,1.72961,7.46006,18.2,11.392,2.6,266.9,7.4
London N. Kensington,KC1,2018-10-23 01:00:00,0.171856,47.69816,42.95191,3.09542,6.25319,4.62713,14.825,9.623,3,274.6,6.7
London N. Kensington,KC1,2018-10-23 02:00:00,0.146468,45.48733,41.05062,2.89354,7.3342,4.03693,12.925,8.42,3.1,275.7,6.2
London N. Kensington,KC1,2018-10-23 03:00:00,0.13475,33.89354,32.34586,1.00938,15.16732,2.05388,10.975,7.429,2.9,277.6,5.8
London N. Kensington,KC1,2018-10-23 04:00:00,0.117174,34.83358,32.61523,1.44677,11.72474,1.62894,10.625,6.604,3,275.8,5.7
London N. Kensington,KC1,2018-10-23 05:00:00,0.143539,50.8142,41.37331,6.15719,5.3385,2.47882,10.2,6.557,2.8,271.3,5.5
London N. Kensington,KC1,2018-10-23 06:00:00,0.181621,69.98051,46.24929,15.4771,2.09549,3.25788,10.725,6.863,2.9,266.4,5.6
London N. Kensington,KC1,2018-10-23 07:00:00,0.251925,115.93785,52.12152,41.61993,2.89377,4.74517,14.7,7.712,3.4,279.3,7.5
London N. Kensington,KC1,2018-10-23 08:00:00,0.254855,112.49105,50.89308,40.17315,5.08904,4.39105,16.35,7.83,4,295.7,10.2
London N. Kensington,KC1,2018-10-23 09:00:00,0.18455,82.93212,45.47808,24.42689,12.07399,3.96611,17.95,8.019,4.8,305.9,12.5
London N. Kensington,KC1,2018-10-23 10:00:00,0.193338,71.02499,41.20621,19.44731,21.70324,3.3287,17,8.326,5.1,314.2,13.9
London N. Kensington,KC1,2018-10-23 11:00:00,0.108386,26.00768,19.40421,4.30667,43.80562,1.91223,15.425,6.439,4.9,309.4,15
London N. Kensington,KC1,2018-10-23 12:00:00,0.082023,21.15083,16.04345,3.33094,51.53895,3.11623,13.975,6.014,4.8,304.7,14.8
London N. Kensington,KC1,2018-10-23 13:00:00,0.099598,20.36746,16.34347,2.62438,49.79272,2.47882,16.7,6.675,4.6,300.9,14.9
London N. Kensington,KC1,2018-10-23 14:00:00,0.125963,29.08891,24.75539,2.82625,38.6168,2.97458,13.775,6.392,4.4,299.6,14.6
London N. Kensington,KC1,2018-10-23 15:00:00,0.13475,33.7891,28.21742,3.63375,37.31959,2.19553,16.75,6.981,3.2,293.5,13.2
London N. Kensington,KC1,2018-10-23 16:00:00,0.158186,39.58599,35.45882,2.69167,26.94195,1.77058,16.65,7.524,3.3,301.1,13
London N. Kensington,KC1,2018-10-23 17:00:00,0.169903,44.28617,41.75828,1.64865,22.55141,1.27482,13.025,6.981,3.3,306.9,12.9
London N. Kensington,KC1,2018-10-23 18:00:00,0.158186,34.10244,31.72932,1.54771,31.98109,1.91223,11.125,5.896,3.8,309.9,12.7
London N. Kensington,KC1,2018-10-23 19:00:00,0.155257,31.80457,29.99894,1.17761,31.13292,1.98305,11.075,5.778,4.1,307.1,12.7
London N. Kensington,KC1,2018-10-23 20:00:00,0.155257,36.60921,34.6488,1.27854,22.20216,2.90376,10.35,6.934,4.1,308.7,12.7
London N. Kensington,KC1,2018-10-23 21:00:00,0.158186,40.99604,38.26179,1.78323,21.45378,1.98305,9.325,5.849,3.7,307.3,12.7
London N. Kensington,KC1,2018-10-23 22:00:00,0.149397,33.1624,31.45995,1.11031,22.70109,0.77906,10.175,5.967,3.1,308.7,12.6
London N. Kensington,KC1,2018-10-23 23:00:00,0.14061,38.38483,36.0633,1.51406,16.26496,1.55811,10.575,6.132,3,315.1,12.5
London N. Kensington,KC1,2018-10-24 00:00:00,0.105698,33.96206,31.34492,1.70686,21.22094,0.84959,10.35,5.542,3.5,317.7,11.4
London N. Kensington,KC1,2018-10-24 01:00:00,0.086124,17.22511,16.19203,0.67376,36.65436,2.07676,8.3,5.189,2.5,305.3,10.6
London N. Kensington,KC1,2018-10-24 02:00:00,0.08221,11.87278,11.20127,0.43794,35.82282,2.05316,6.8,4.528,2.2,292,9.9
London N. Kensington,KC1,2018-10-24 03:00:00,0.105698,32.63705,30.31262,1.51596,15.16732,1.91157,7.425,4.599,1.9,292.6,9.2
London N. Kensington,KC1,2018-10-24 04:00:00,0.123314,34.41536,30.02475,2.86348,11.82452,0.84959,7.625,4.906,2.2,302.7,8.9
London N. Kensington,KC1,2018-10-24 05:00:00,0.176163,59.41618,40.82067,12.12767,2.79398,1.34518,8.85,6.038,2.6,328.7,8.6
London N. Kensington,KC1,2018-10-24 06:00:00,0.261309,96.34207,46.85737,32.27308,2.79398,2.19476,11.2,6.085,2.5,334.3,8.3
London N. Kensington,KC1,2018-10-24 07:00:00,0.23782,123.53962,48.64106,48.84756,3.69205,2.83195,11.425,6.226,2.7,318,8.9
London N. Kensington,KC1,2018-10-24 08:00:00,0.173227,64.43726,35.04603,19.16846,16.96345,1.20358,11.8,7.476,2.5,302.1,8.9
London N. Kensington,KC1,2018-10-24 09:00:00,0.146803,32.79396,22.7214,6.56916,24.39743,2.69035,13.075,7.877,2.5,299.3,9
London N. Kensington,KC1,2018-10-24 10:00:00,0.135059,28.87124,20.24499,5.62589,29.53636,1.13278,12.675,8.208,2.6,299.4,9.2
London N. Kensington,KC1,2018-10-24 11:00:00,0.129187,29.49887,19.01308,6.83866,31.48217,1.20358,13.7,8.373,2.7,294.5,9.4
London N. Kensington,KC1,2018-10-24 12:00:00,0.129187,30.33572,20.15985,6.63653,31.63185,1.41597,13.675,8.184,3,294.9,9.5
London N. Kensington,KC1,2018-10-24 13:00:00,0.143867,34.36305,25.42688,5.82802,29.43658,1.48677,15.375,7.925,2.9,305.3,8.5
London N. Kensington,KC1,2018-10-24 14:00:00,0.152674,34.25845,26.25205,5.22164,31.2826,1.84077,13.6,7.547,2.5,302.6,8.1
London N. Kensington,KC1,2018-10-24 15:00:00,0.143867,40.16868,32.05898,5.28901,25.99399,1.62837,16.55,8.373,2.4,283.6,7.7
London N. Kensington,KC1,2018-10-24 16:00:00,0.15561,44.71904,37.48746,4.71632,23.34969,2.90275,15.6,8.844,2.5,284.6,7.6
London N. Kensington,KC1,2018-10-24 17:00:00,0.15561,50.15855,44.26997,3.84043,14.81807,1.84077,21.15,11.509,2.4,288.6,8.4
London N. Kensington,KC1,2018-10-24 18:00:00,0.164419,53.87206,48.50003,3.50355,14.16947,1.69917,22.825,12.123,2.3,309,8.5
London N. Kensington,KC1,2018-10-24 19:00:00,0.202588,84.15548,60.96275,15.1259,2.59441,2.47796,20.775,12.807,2.4,315.1,7.9
London N. Kensington,KC1,2018-10-24 20:00:00,0.258373,99.95098,63.1732,23.98584,1.94581,2.90275,19.475,13.019,2.5,317.2,7.6
London N. Kensington,KC1,2018-10-24 21:00:00,0.255437,100.16019,60.33482,25.97343,4.44043,3.39834,19.975,13.656,2.6,309.1,7.4
London N. Kensington,KC1,2018-10-24 22:00:00,0.164419,43.9868,40.47431,2.29078,19.40818,1.13278,18.625,12.547,2.7,312.2,7.3
London N. Kensington,KC1,2018-10-24 23:00:00,0.129187,42.52232,39.78464,1.78546,15.71614,1.20358,17.125,11.321,2.8,311,7.1
London N. Kensington,KC1,2018-10-25 00:00:00,0.133405,69.14382,55.00736,9.21956,5.9871,1.79294,16.05,11.085,2.1,290.2,7.3
London N. Kensington,KC1,2018-10-25 01:00:00,0.129481,48.12131,45.43193,1.75396,8.51499,1.41548,14.775,10.731,2.2,296,6.6
London N. Kensington,KC1,2018-10-25 02:00:00,0.120653,55.73411,48.23489,4.89086,6.33635,2.05245,15.9,10.802,2.9,314.8,6.7
London N. Kensington,KC1,2018-10-25 03:00:00,0.114767,70.50575,50.90434,12.78371,4.88947,1.41548,14.25,10.613,2.6,314,6.7
London N. Kensington,KC1,2018-10-25 04:00:00,0.120653,46.46255,41.70443,3.10317,5.58796,2.12322,14.875,11.297,2.9,321.4,6.9
London N. Kensington,KC1,2018-10-25 05:00:00,0.138309,62.07229,45.78089,10.62498,1.49678,1.41548,15.4,11.258,3,318.7,6.8
London N. Kensington,KC1,2018-10-25 06:00:00,0.200107,105.33956,50.62112,35.68644,1.64645,2.68941,18.65,11.675,2.9,316.5,6.8
London N. Kensington,KC1,2018-10-25 07:00:00,0.238363,154.63073,59.4165,62.0971,2.34495,4.24645,18.475,12.052,3,315.6,6.6
London N. Kensington,KC1,2018-10-25 08:00:00,0.185393,105.91576,56.52435,32.21224,9.13033,3.5387,19.925,12.524,3,311.6,6.8
London N. Kensington,KC1,2018-10-25 09:00:00,0.153022,68.46286,45.1377,15.21227,23.79872,3.04329,22.025,14.316,2.9,312.2,7.6
London N. Kensington,KC1,2018-10-25 10:00:00,0.11771,41.64344,29.955,7.623,38.31744,3.32638,19.15,12.288,3,321.4,8.9
London N. Kensington,KC1,2018-10-25 11:00:00,0.079454,26.45275,19.52244,4.51983,49.2439,2.90174,14.6,9.882,3.4,329.6,9.7
London N. Kensington,KC1,2018-10-25 12:00:00,0.097111,24.72415,19.3454,3.50793,49.69293,2.97251,14.1,9.245,3.1,323.8,9.5
London N. Kensington,KC1,2018-10-25 13:00:00,0.088282,23.10032,18.80767,2.7996,49.14411,2.47709,13.95,9.175,2.9,317.1,9.1
London N. Kensington,KC1,2018-10-25 14:00:00,0.111825,25.92893,22.41206,2.29365,44.25465,2.83096,12.875,9.009,2.7,315.1,8.8
London N. Kensington,KC1,2018-10-25 15:00:00,0.11771,31.27187,28.16874,2.02381,41.06153,1.32112,13.25,8.113,2.9,310.4,8.6
London N. Kensington,KC1,2018-10-25 16:00:00,0.141252,43.31965,39.69934,2.36111,28.83787,NA,13.45,7.901,3,312.5,8.5
London N. Kensington,KC1,2018-10-25 17:00:00,0.120653,42.27202,37.51389,3.10317,31.03314,NA,12.45,8.09,2.7,312.1,8.6
London N. Kensington,KC1,2018-10-25 18:00:00,0.108882,37.50528,33.88497,2.36111,34.47572,NA,14.625,9.434,3,310.4,8.6
London N. Kensington,KC1,2018-10-25 19:00:00,0.097111,24.35748,22.80592,1.0119,42.30884,NA,13.025,9.104,2.9,313.3,8.4
London N. Kensington,KC1,2018-10-25 20:00:00,0.079454,19.43361,18.65782,0.50595,46.35013,NA,9.225,6.84,3.1,304.1,7.9
London N. Kensington,KC1,2018-10-25 21:00:00,0.085339,22.8908,21.70126,0.77579,40.6125,NA,8.725,6.887,3,294.4,7.6
London N. Kensington,KC1,2018-10-25 22:00:00,0.082397,29.85756,28.71975,0.74206,36.47142,NA,7.775,5.401,3.2,288.2,7.4
London N. Kensington,KC1,2018-10-25 23:00:00,0.094167,25.30035,24.36942,0.60714,41.85981,NA,6.275,4.198,3.5,293,7.4
London N. Kensington,KC1,2018-10-26 00:00:00,0.117978,18.53601,18.0527,0.31521,41.97622,NA,8.45,5.684,2.4,265.5,7.9
London N. Kensington,KC1,2018-10-26 01:00:00,0.094382,13.22002,12.80575,0.27018,49.22727,NA,6.8,4.552,2.6,270.9,7
London N. Kensington,KC1,2018-10-26 02:00:00,0.112079,20.98416,20.51811,0.30395,39.76432,NA,7.375,5.236,2.8,273,6.5
London N. Kensington,KC1,2018-10-26 03:00:00,0.097332,17.55675,17.34961,0.13509,47.09852,NA,4.775,3.325,2.7,270.1,6.1
London N. Kensington,KC1,2018-10-26 04:00:00,0.103231,18.9382,18.3168,0.40527,42.50841,NA,5,3.302,3.4,274.8,7
London N. Kensington,KC1,2018-10-26 05:00:00,0.115028,26.7548,26.08162,0.43904,31.68174,NA,4.7,3.42,3.3,282.4,8.2
London N. Kensington,KC1,2018-10-26 06:00:00,0.135675,45.22086,42.78704,1.58729,19.60775,NA,5.525,3.137,3.1,272.2,8.6
London N. Kensington,KC1,2018-10-26 07:00:00,0.147472,44.11919,40.54614,2.33028,24.84647,NA,6.475,2.972,3.6,280.3,8.1
London N. Kensington,KC1,2018-10-26 08:00:00,0.182866,50.93904,41.51448,6.14654,22.10238,NA,7.225,3.491,4.3,304.8,9
London N. Kensington,KC1,2018-10-26 09:00:00,0.156321,36.35505,28.58755,5.06583,37.81852,NA,5.775,2.972,4.6,311.2,9.2
London N. Kensington,KC1,2018-10-26 10:00:00,0.156321,33.78449,26.79374,4.55925,41.06153,NA,8.15,3.561,6.1,320,10.5
London N. Kensington,KC1,2018-10-26 11:00:00,0.100281,19.30543,15.05919,2.76932,55.03143,NA,6.65,2.854,5.8,315.6,10.5
London N. Kensington,KC1,2018-10-26 12:00:00,0.091433,23.34488,17.80406,3.61363,50.64089,NA,6.725,2.075,5.4,305.9,10.4
London N. Kensington,KC1,2018-10-26 13:00:00,0.091433,28.80076,21.49931,4.76188,49.79272,NA,7.15,2.146,5.7,303.9,10.1
London N. Kensington,KC1,2018-10-26 14:00:00,0.103231,25.70559,20.52726,3.37722,52.43702,NA,5.275,1.745,5.1,300,9.6
London N. Kensington,KC1,2018-10-26 15:00:00,0.085534,25.49575,21.04239,2.90441,56.02928,NA,4.125,1.769,3.7,317.3,8.2
London N. Kensington,KC1,2018-10-26 16:00:00,0.103231,26.17774,22.39755,2.46537,54.68218,NA,4.575,1.627,3.3,316.1,6.8
London N. Kensington,KC1,2018-10-26 17:00:00,0.123877,44.22411,38.994,3.41099,30.634,NA,5.15,2.5,4,319.1,6.3
London N. Kensington,KC1,2018-10-26 18:00:00,0.156321,68.30343,58.61995,6.3154,12.27356,NA,8.675,4.269,3.9,320.5,6
London N. Kensington,KC1,2018-10-26 19:00:00,0.182866,70.76907,61.44807,6.079,6.6856,NA,8.275,4.623,4.2,325.5,5.7
London N. Kensington,KC1,2018-10-26 20:00:00,0.144523,43.48967,39.60592,2.53292,26.54281,NA,6.35,3.396,4.2,326.7,5.3
London N. Kensington,KC1,2018-10-26 21:00:00,0.120927,46.16515,43.8349,1.51975,20.25636,NA,8.75,3.892,4.7,330.4,5.2
London N. Kensington,KC1,2018-10-26 22:00:00,0.129776,52.09317,48.36477,2.4316,12.57291,NA,7.85,4.057,5.2,337.2,5
London N. Kensington,KC1,2018-10-26 23:00:00,0.10913,30.68933,28.56621,1.38466,31.58195,NA,5.525,3.467,5.5,341.9,4.7
London N. Kensington,KC1,2018-10-27 00:00:00,0.110363,23.46747,22.56877,0.58612,32.13077,NA,5,3.373,3.8,333.6,4.4
London N. Kensington,KC1,2018-10-27 01:00:00,0.102479,23.67762,22.43327,0.81155,27.14152,NA,5.375,3.302,4,335.3,3.8
London N. Kensington,KC1,2018-10-27 02:00:00,0.097552,25.37639,23.92465,0.9468,29.58625,NA,4.625,3.137,4.3,337.1,3.4
London N. Kensington,KC1,2018-10-27 03:00:00,0.088684,19.59709,18.66382,0.60866,31.83142,NA,4.725,2.925,4.2,337.8,3
London N. Kensington,KC1,2018-10-27 04:00:00,0.085728,17.91584,16.87888,0.67629,35.47357,NA,4.525,2.665,3.9,338.2,2.7
London N. Kensington,KC1,2018-10-27 05:00:00,0.079815,20.0174,18.35827,1.08206,36.87056,NA,4.25,2.17,3.8,336.9,2.5
London N. Kensington,KC1,2018-10-27 06:00:00,0.079815,24.64084,20.49301,2.70515,34.5755,NA,4.35,2.005,3.7,337,2.3
London N. Kensington,KC1,2018-10-27 07:00:00,0.085728,32.25901,24.27443,5.20741,34.92475,NA,4.225,2.028,4.9,344.8,3
London N. Kensington,KC1,2018-10-27 08:00:00,0.082772,24.69338,19.04196,3.68576,39.41508,NA,4.375,2.028,5.5,350.7,4.2
London N. Kensington,KC1,2018-10-27 09:00:00,0.088684,27.79319,18.87535,5.81607,41.41078,NA,4.875,2.193,5.6,351.3,5
London N. Kensington,KC1,2018-10-27 10:00:00,0.09164,28.84397,18.94102,6.45854,44.554,NA,4.825,2.17,6,354,5.7
London N. Kensington,KC1,2018-10-27 11:00:00,0.085728,21.59357,14.95704,4.32824,50.09207,NA,5.125,2.359,5.5,354.5,4.7
London N. Kensington,KC1,2018-10-27 12:00:00,0.088684,20.59533,16.18826,2.87422,51.2396,NA,4.35,2.406,5.3,355.5,4.3
London N. Kensington,KC1,2018-10-27 13:00:00,0.09164,21.17326,16.97358,2.73896,51.13981,NA,4.15,2.854,4.9,359,4.2
London N. Kensington,KC1,2018-10-27 14:00:00,0.103465,23.16975,18.76267,2.87422,49.84261,NA,3.875,2.123,5.1,3.8,4.7
London N. Kensington,KC1,2018-10-27 15:00:00,0.103465,25.95432,20.66583,3.44906,45.30239,NA,2.9,1.958,5.7,11.8,4.8
London N. Kensington,KC1,2018-10-27 16:00:00,0.11529,28.26604,22.51092,3.75339,47.04863,NA,2.875,1.816,5.1,358.5,3
London N. Kensington,KC1,2018-10-27 17:00:00,0.112332,21.90881,18.27945,2.367,49.84261,NA,2.65,1.816,4.1,2.4,4.4
London N. Kensington,KC1,2018-10-27 18:00:00,0.103465,20.33264,18.31057,1.31876,48.74497,NA,2.65,1.91,4,7.5,4.4
London N. Kensington,KC1,2018-10-27 19:00:00,0.118245,23.32736,21.2016,1.38639,47.04863,NA,3.1,2.335,4.4,17,5
London N. Kensington,KC1,2018-10-27 20:00:00,0.112332,18.86154,17.51349,0.87917,50.69078,NA,2.775,2.052,4.7,21.6,5.4
London N. Kensington,KC1,2018-10-27 21:00:00,0.106421,17.28537,15.98917,0.84536,49.8925,NA,2.575,1.934,4.9,17.1,5.7
London N. Kensington,KC1,2018-10-27 22:00:00,0.103465,17.18029,15.78039,0.91299,46.00089,NA,6.625,4.057,4.9,16.6,5.4
London N. Kensington,KC1,2018-10-27 23:00:00,0.100509,13.23986,12.15105,0.7101,48.29594,NA,8.7,5.212,5.4,25.3,5.7
London N. Kensington,KC1,2018-10-28 00:00:00,0.110612,13.68063,12.57317,0.72227,46.16719,NA,7,4.458,5.5,12.3,4.2
London N. Kensington,KC1,2018-10-28 01:00:00,0.102712,11.15498,10.39359,0.49656,47.83028,NA,5.7,3.561,5.5,17.7,4.2
London N. Kensington,KC1,2018-10-28 02:00:00,0.097773,9.36597,8.69111,0.44013,48.74497,NA,5.175,3.396,5.6,21.1,4.4
London N. Kensington,KC1,2018-10-28 03:00:00,0.103699,8.05053,7.58331,0.30471,50.19186,NA,5.175,3.16,5.5,23.9,4.6
London N. Kensington,KC1,2018-10-28 04:00:00,0.097773,7.15602,6.68881,0.30471,53.28519,NA,3.25,2.17,6.2,33.1,5.6
London N. Kensington,KC1,2018-10-28 05:00:00,0.103699,14.99608,10.99882,2.60695,48.29594,2.19171,3.275,1.91,6.4,31.5,6.1
London N. Kensington,KC1,2018-10-28 06:00:00,0.100736,13.47016,10.09585,2.20067,53.43487,1.9796,2.8,1.627,6.3,35.5,5.9
London N. Kensington,KC1,2018-10-28 07:00:00,0.09481,10.26048,8.7031,1.01569,57.12691,2.40381,2.25,1.156,6.9,40.2,5.5
London N. Kensington,KC1,2018-10-28 08:00:00,0.121476,17.15341,14.35013,1.82825,51.33938,2.19171,2.575,1.297,7.1,48.1,6
London N. Kensington,KC1,2018-10-28 09:00:00,0.145178,21.41545,16.69142,3.08094,47.8968,2.33311,2.625,1.58,6.3,53.7,5.7
London N. Kensington,KC1,2018-10-28 10:00:00,0.136289,21.36283,15.60055,3.75807,52.98584,2.40381,2.7,1.627,4.3,74.1,6.4
London N. Kensington,KC1,2018-10-28 11:00:00,0.11555,18.67933,13.69573,3.25022,55.38068,2.0503,3.325,1.91,2.9,49,7.6
London N. Kensington,KC1,2018-10-28 12:00:00,0.124439,16.78509,12.47635,2.81009,61.11831,2.54521,5.575,2.359,5,49.2,8.6
London N. Kensington,KC1,2018-10-28 13:00:00,0.09481,13.62801,10.20179,2.23453,62.01638,2.47451,6.25,2.925,5.9,44.9,9.1
London N. Kensington,KC1,2018-10-28 14:00:00,0.112587,15.57487,12.71969,1.8621,59.67143,2.33311,6.4,2.783,5.3,46,8.7
London N. Kensington,KC1,2018-10-28 15:00:00,0.085921,14.4699,12.03001,1.59125,61.06842,2.68661,4.7,2.099,4.1,40.1,7.5
London N. Kensington,KC1,2018-10-28 16:00:00,0.097773,19.31074,17.18233,1.38811,54.5325,1.8382,4.675,2.241,3.8,34.6,6.3
London N. Kensington,KC1,2018-10-28 17:00:00,0.127402,22.88875,20.70843,1.42197,49.44347,1.9089,4.8,2.854,3.9,32.4,5.7
London N. Kensington,KC1,2018-10-28 18:00:00,0.151104,33.04399,30.03307,1.96367,36.72088,2.19171,5.7,3.726,4,29,5.2
London N. Kensington,KC1,2018-10-28 19:00:00,0.165918,38.14792,34.51404,2.36995,33.12862,2.40381,6.775,4.269,4.1,31.9,4.9
London N. Kensington,KC1,2018-10-28 20:00:00,0.151104,27.72959,25.49735,1.45583,43.05723,1.8382,5.575,3.561,3.7,32.2,4.5
London N. Kensington,KC1,2018-10-28 21:00:00,0.118513,21.94163,20.48808,0.94798,46.5497,1.1312,3.975,2.547,3.4,31.4,4.1
London N. Kensington,KC1,2018-10-28 22:00:00,0.124439,20.20524,18.49213,1.11726,47.14841,1.7675,4.075,2.665,3.8,26.6,3.9
London N. Kensington,KC1,2018-10-28 23:00:00,0.11555,19.62645,18.01716,1.04955,43.80562,0.4242,4.225,2.854,4.1,24,3.7
London N. Kensington,KC1,2018-10-29 00:00:00,0.098984,20.09494,18.84749,0.81357,41.77665,0.37694,4.375,2.783,3.5,27.5,3.5
London N. Kensington,KC1,2018-10-29 01:00:00,0.079188,14.12267,13.42964,0.45198,42.37536,0.94234,4.15,2.642,3.7,27.1,2.9
London N. Kensington,KC1,2018-10-29 02:00:00,0.083146,10.32852,9.80875,0.33899,44.95314,1.48419,3.725,2.335,3.6,28.2,2.7
London N. Kensington,KC1,2018-10-29 03:00:00,0.077207,10.38122,9.75749,0.40678,45.80132,0.42405,3.675,2.193,3.4,30.2,2.6
London N. Kensington,KC1,2018-10-29 04:00:00,0.071269,10.27582,9.60012,0.44068,43.40648,0.91878,3.6,2.241,3.4,30.6,2.5
London N. Kensington,KC1,2018-10-29 05:00:00,0.080177,19.7612,15.60303,2.71189,39.11572,0.77743,4,2.241,3.6,30.4,2.5
London N. Kensington,KC1,2018-10-29 06:00:00,0.097994,33.62039,25.30405,5.42377,32.08088,1.27216,3.9,2.099,3.5,30,2.4
London N. Kensington,KC1,2018-10-29 07:00:00,0.115811,48.27002,36.00343,8.00006,23.64905,1.97891,4.05,2.123,3.6,36,3.3
London N. Kensington,KC1,2018-10-29 08:00:00,0.130659,46.79452,32.76071,9.15261,31.83142,0.91878,5.2,2.193,3.6,35.3,5.4
London N. Kensington,KC1,2018-10-29 09:00:00,0.12175,41.57756,27.49178,9.18651,38.86626,0.91878,6.375,2.665,4.4,36.1,7
London N. Kensington,KC1,2018-10-29 10:00:00,0.097994,30.88017,20.32882,6.88141,45.50196,1.76689,6.025,2.594,5.1,47.5,8.1
