site,code,date,nox,no2,no,o3,pm2.5,ws,wd,air_temp
London N. Kensington,KC1,2019-02-14 18:00:00,89.35189374802997,55.92356287912723,21.801389080416225,17.315847908448745,20.826414913630487,2.140576941972907,158.68482737643356,4.083389766173264
London N. Kensington,KC1,2019-02-14 19:00:00,89.96304975647787,56.39700867201347,21.891201271030752,16.77967856481535,20.97849435173504,2.157069363507148,159.55397794378945,4.183814538288566
London N. Kensington,KC1,2019-02-14 20:00:00,91.38398024204128,56.95368791950136,22.454851285440927,16.22186489352909,21.167948285697204,2.1694171655775354,160.38752315006698,4.270886365961872
London N. Kensington,KC1,2019-02-14 21:00:00,92.52324337202202,57.530420824162576,22.821723984316503,15.606701339834302,21.392437591356902,2.1744311197811466,161.1344265989781,4.329004977452193
London N. Kensington,KC1,2019-02-14 22:00:00,92.96025464651429,57.998173586004285,22.80167479223816,15.033987005413165,21.64945890381246,2.17397449390456,161.86116624506053,4.37369433063502
London N. Kensington,KC1,2019-02-14 23:00:00,93.32417610968086,58.434829681572076,22.754238608021605,14.500765866795208,21.931323848701837,2.1686084439649678,162.54585119379394,4.412191678299909
London N. Kensington,KC1,2019-02-15 00:00:00,93.28644941075562,58.66570327997328,22.579062004752043,14.153386192356066,22.16460827394132,2.1660194287155887,163.24353348646397,4.451206575805123
London N. Kensington,KC1,2019-02-15 01:00:00,93.06847892768477,58.782877262827355,22.360486502538418,13.977951937824379,22.337639554907586,2.1673324529433944,163.97397740663448,4.496929350500491
London N. Kensington,KC1,2019-02-15 02:00:00,92.64974780553763,58.777646257454315,22.09080873964658,14.006463121002865,22.47864659469181,2.175950095924668,164.7588400770384,4.555039571150243
London N. Kensington,KC1,2019-02-15 03:00:00,95.23741352233407,59.415847369547215,23.362216457808717,13.736064371233983,22.619091866128294,2.1949740803347764,165.62020692698013,4.63903945184486
London N. Kensington,KC1,2019-02-15 04:00:00,94.94546779260023,59.420662613813846,23.16867414753655,13.78280383813462,22.733870754906103,2.2224532484795816,166.52214776245577,4.730310698767222
London N. Kensington,KC1,2019-02-15 05:00:00,94.58937616093216,59.40135616517836,22.949028604316325,13.940361763566383,22.808308566474963,2.2506025121208832,167.45517080174787,4.823569225035577
London N. Kensington,KC1,2019-02-15 06:00:00,94.13904451286733,59.33411010091918,22.699186717583068,14.182152026762086,22.86513987759243,2.2805764055178717,168.43178435907924,4.916319364156729
London N. Kensington,KC1,2019-02-15 07:00:00,93.68628672782481,59.30691412763852,22.42164243647624,14.419944365101905,22.918990663300768,2.3062928265744693,169.38239476435336,5.008645522224106
London N. Kensington,KC1,2019-02-15 08:00:00,93.19620968721067,59.269204301346406,22.126616134192474,14.67531097599451,22.968243555185175,2.3364464219151797,170.35841074540306,5.107764323307244
London N. Kensington,KC1,2019-02-15 09:00:00,92.62050838773038,59.18902273377482,21.803446515435176,14.998150054046908,23.01241101261361,2.367126604057705,171.32852026970878,5.208391470971668
London N. Kensington,KC1,2019-02-15 10:00:00,91.97632671938985,59.08784074615376,21.449311423042364,15.296992872094819,23.072218024956925,2.4006764152567968,172.2091974054782,5.309220365527025
London N. Kensington,KC1,2019-02-15 11:00:00,91.40730187289827,59.087331081780064,21.078535639968113,15.413280465355827,23.172450220959664,2.439237133413548,173.06076962984332,5.4138022464488955
London N. Kensington,KC1,2019-02-15 12:00:00,90.6859678125217,58.98522653324268,20.674684715530738,15.588372604613411,23.26465288239107,2.4847516598445325,174.19344551709747,5.543223393878228
London N. Kensington,KC1,2019-02-15 13:00:00,89.83417980740985,58.788814043215496,20.247260017338764,15.884762364437417,23.336855206739443,2.525885867139633,175.37041285357168,5.679891705941245
London N. Kensington,KC1,2019-02-15 14:00:00,88.90444950290052,58.55577731973037,19.79288825830755,16.1773079439237,23.392008515150074,2.564115437848326,176.4434903343138,5.815884060270139
London N. Kensington,KC1,2019-02-15 15:00:00,87.78163489516221,58.169377034734396,19.31261127181304,16.634342948928982,23.419940104233998,2.599620718288978,177.52883556449078,5.952218790580885
London N. Kensington,KC1,2019-02-15 16:00:00,86.5617676947642,57.72766521948315,18.805111374242404,17.131630816971818,23.432286019177273,2.6349570276319643,178.60599428198094,6.083868704176139
London N. Kensington,KC1,2019-02-15 17:00:00,85.17742602550915,57.16186083154312,18.271275273463228,17.767042433123823,23.42834731916593,2.6772316383471537,179.75599040088935,6.213348746400272
London N. Kensington,KC1,2019-02-15 18:00:00,83.58442520195992,56.42743889531474,17.711324699117966,18.58202110193355,23.39775365327789,2.711539939623129,180.9673057628521,6.334643915687667
London N. Kensington,KC1,2019-02-15 19:00:00,81.92756739057789,55.677897383472164,17.1195882726048,19.367353377192924,23.34826913453592,2.7444144234925605,182.11827711921126,6.450568023232678
London N. Kensington,KC1,2019-02-15 20:00:00,80.58087975513958,55.16100613634984,16.57840931805359,19.909703870435,23.30182039741158,2.7783054668648477,183.29924214725267,6.563724786154966
London N. Kensington,KC1,2019-02-15 21:00:00,79.34871745008492,54.6601612776962,16.101456361276604,20.469792033213732,23.23118602239572,2.811892159344442,184.54430418996563,6.668186280779651
London N. Kensington,KC1,2019-02-15 22:00:00,78.02267609324993,54.08196835337406,15.613722328103727,21.131050881185686,23.137009516235935,2.842766602106614,185.71903905817572,6.764473149596101
London N. Kensington,KC1,2019-02-15 23:00:00,76.49181558166343,53.38504703678556,15.06984136504583,21.82909308587785,23.11203302904764,2.8663437237891456,186.90323417740234,6.85666364846481
London N. Kensington,KC1,2019-02-16 00:00:00,74.68156338940472,52.50688313871705,14.461949261563234,22.664490321457965,23.129895881989665,2.8855736758314237,188.05831467944068,6.947334182799619
London N. Kensington,KC1,2019-02-16 01:00:00,72.82325223314278,51.62794451808142,13.823219225856354,23.543968924307812,23.130735862408358,2.9043839583673483,189.1772603173235,7.037665175353254
London N. Kensington,KC1,2019-02-16 02:00:00,70.86680418105985,50.70556685576099,13.148816177253941,24.53562852246726,23.081944047597382,2.9335284036404863,190.28927143975335,7.131113069185008
London N. Kensington,KC1,2019-02-16 03:00:00,68.81506795220656,49.72806094014048,12.448221504368695,25.669318432013455,22.99379322411543,2.966202013755362,191.2081764855261,7.227264067503789
London N. Kensington,KC1,2019-02-16 04:00:00,66.77569837850713,48.77482388411216,11.73986433285125,26.790840156709425,22.873456576414668,3.000874185884478,192.22602232432286,7.33284506091746
